Mods count: 167
 
                                     jar name                                       |    notes     |             mod id             |                    mod name                     |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
    /META-INF/jarjar/guava-32.1.2-jre.jar                                           |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/jsr305-3.0.2.jar                                               |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
EnderStorage-1.20.1-2.11.0.188-universal.jar                                        |              | enderstorage                   | EnderStorage                                    | 2.11.0.188                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 19a4935881634bdb98aad4aba6e548b13ffaded7 | 549028207      
enigmaticgraves-1.20.1-1.8.0.jar                                                    |              | enigmaticgraves                | Enigmatic Graves fork                           | 1.8.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 6b673125e3da20eda16c66991d2c0d2e4a824d09 | 1485966098     
expanded_ecosphere-3.2.4-forge.jar                                                  |              | expanded_ecosphere             | Expanded Ecosphere                              | 3.2.4                        | wwoo.mixins.json, wwoo-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                    | fd8bd4927b3e69a429790b7b2f887110fde93e96 | 2071459130     
ExtendedAE-1.20-1.4.15-forge.jar                                                    |              | expatternprovider              | ExtendedAE                                      | 1.20-1.4.15-forge            | mixins.epp.refmap.json, mixins.epp.json                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 27ba7cc836c6c8df914160ac9ed04538519feb21 | 3793884437     
ExtendedCrafting-1.20.1-6.0.10.jar                                                  |              | extendedcrafting               | Extended Crafting                               | 6.0.10                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 5f57644549744e4c54d717b51661b1de765f7492 | 981922003      
ExtremeSoundMuffler-3.51-forge-1.20.1.jar                                           |              | extremesoundmuffler            | Extreme Sound Muffler                           | 3.51                         | extremesoundmuffler.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 025499c74e1e9305fa931b44c3832f43b1925ec7 | 2384074866     
FarmersDelight-1.20.1-1.3.2.jar                                                     |              | farmersdelight                 | Farmer's Delight                                | 1.20.1-1.3.2                 | farmersdelight.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 397763ae36dc2e0f526e0338c875850437580157 | 2239282096     
FarmersStructures-1.0.4-1.20.jar                                                    | MCreator mod | farmers_structures             | FarmersStructures                               | 1.0.4                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | efdf64144852cb4c79396ba1303a3752ad023818 | 3441116480     
FastLeafDecay-32.jar                                                                |              | fastleafdecay                  | Fast Leaf Decay                                 | 32                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 4a76af4ca71dd9939d3c21206792c0d5f75b93a7 | 2287332168     
Fastload-Reforged-mc1.20.1-3.4.0.jar                                                |              | fastload                       | Fastload-Reforged                               | 3.4.0                        | fastload.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 27d58f123951e0404c94caf16ff9b96b442f371c | 1563375780     
FastSuite-1.20.1-5.1.2.jar                                                          |              | fastsuite                      | Fast Suite                                      | 5.1.2                        | fastsuite.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 32ea4495b0e646f8f060e4e97d17044dd9fdefbd | 2881858684     
ferritecore-6.0.1-forge.jar                                                         |              | ferritecore                    | Ferrite Core                                    | 6.0.1                        | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json                                                                                                                                                                                                   | 417fb6ce8f52abf40bd9d0390371790f9576f8ba | 2683111440     
findme-3.2.3-forge.jar                                                              |              | findme                         | FindMe                                          | 3.2.3                        | findme-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 7b46df9e34d81bb678e9547a662cca15a04855e5 | 2689955963     
FpsReducer2-forge-1.20.1-2.5.1.jar                                                  |              | fpsreducer                     | FPS Reducer                                     | 1.20.1-2.5.1                 | fpsreducer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 4920a2e1d17090007179a568181624847fba0993 | 4111825473     
fragmentum-forge-1.20.1-1.3.0.jar                                                   |              | fragmentum                     | Fragmentum                                      | 1.3.0                        | fragmentum.forge.mixins.json, fragmentum.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                         | 4d3c7ff7d0281713b92506dc4e4a358c549d3cf1 | 1944372918     
    /META-INF/jarjar/luaj-core-3.0.8-figura.jar                                     |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/luaj-jse-3.0.8-figura.jar                                      |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/yet-another-config-lib-3.6.6+1.20.1-forge.jar                  |              | yet_another_config_lib_v3      | YetAnotherConfigLib                             | 3.6.6+1.20.1-forge           | yacl.mixins.json, yacl-fabric.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
        /META-INF/jarjar/common-image-3.12.0.jar                                    |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jarjar/common-io-3.12.0.jar                                       |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jarjar/common-lang-3.12.0.jar                                     |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jarjar/gson-0.2.1.jar                                             |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jarjar/imageio-core-3.12.0.jar                                    |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jarjar/imageio-metadata-3.12.0.jar                                |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jarjar/imageio-webp-3.12.0.jar                                    |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jarjar/json-0.2.1.jar                                             |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
FramedBlocks-9.4.3.jar                                                              |              | framedblocks                   | FramedBlocks                                    | 9.4.3                        | framedblocks.mixin.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 740c0feaab75455f32df7e137389f77c83fb490c | 380347176      
    /META-INF/jarjar/caffeine-3.2.1.jar                                             |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
ftb-chunks-forge-2001.3.7.jar                                                       |              | ftbchunks                      | FTB Chunks                                      | 2001.3.7                     | ftbchunks-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | ad905a6efcd0569bd8f4cc8e38889671b4bfc6a9 | 1101626961     
ftb-essentials-forge-2001.2.4.jar                                                   |              | ftbessentials                  | FTB Essentials                                  | 2001.2.4                     | ftbessentials-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 4f898578e3cc321397dbc59a0c44e2927000bd32 | 3908435669     
ftb-library-forge-2001.2.12.jar                                                     |              | ftblibrary                     | FTB Library                                     | 2001.2.12                    | ftblibrary-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 7f36ec4af42ad1d69872c58022e93a9d1b9c82b7 | 3807919150     
ftb-quests-forge-2001.4.22.jar                                                      |              | ftbquests                      | FTB Quests                                      | 2001.4.22                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 70f3bd771ab3b5921ce1ff5f14166fab694ca1aa | 1456505092     
ftb-teams-forge-2001.3.2.jar                                                        |              | ftbteams                       | FTB Teams                                       | 2001.3.2                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c49023f5d471aa1ba7fc624d2565fe9e82b7117e | 816412664      
ftb-xmod-compat-forge-2.1.3.jar                                                     |              | ftbxmodcompat                  | FTB XMod Compat                                 | 2.1.3                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 0584f628d2bc6a612d79dee368324357ebae1423 | 2853914731     
ftbbackups2-forge-1.20-1.0.23.jar                                                   |              | ftbbackups2                    | FTB Backups 2                                   | 1.0.23                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 4b100de40338247a3fbf4d1fd1846257c5338189 | 2646303899     
Geophilic v3.5.mod.jar                                                              |              | geophilic                      | Geophilic                                       | 3.5                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 9b191ff2a06d0e5cc3cbbc19a6de463b2cad78dc | 1169800265     
GlitchCore-forge-1.20.1-0.0.1.1.jar                                                 |              | glitchcore                     | GlitchCore                                      | 0.0.1.1                      | glitchcore.mixins.json, glitchcore.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                         | bba0b08fe76b28b35243fee53f99d54a18153b53 | 3493694372     
Glodium-1.20-1.5-forge.jar                                                          |              | glodium                        | Glodium                                         | 1.20-1.5-forge               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c7534db3248adfcf39a6158b423dfc9bfc99a378 | 3834018600     
greate-0.0.77.jar                                                                   |              | greate                         | Greate                                          | 0.0.77                       | greate.mixin.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | bb3c84d755f64d1502d0783dd8754616e00ed6a2 | 3718466365     
GregTech-Construct-3.11.2.172.jar                                                   |              | tconstruct                     | GregTech Construct                              | 3.11.2.172                   | mixins.tconstruct.refmap.json, tconstruct.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                        | 43d4f700792cd76f93f4b3133fa2f69015da6f5c | 3899363070     
gt_solar-1.20.1-0.2.1.jar                                                           |              | gt_solar                       | GregTech Solar Expansion                        | 0.2.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 6eb690024e2ded1310ff62c37be76a63339e7374 | 17741015       
gtceu-1.20.1-7.5.3.jar                                                              |              | gtceu                          | GregTech                                        | 7.5.3                        | gtceu.mixins.json, assets/gtceu/blockstates/reaction_safe_mixing_casing.json, assets/gtceu/models/block/reaction_safe_mixing_casing.json, assets/gtceu/models/item/reaction_safe_mixing_casing.json                                                                                                                                                                                                                                                                                          | 2e9de016b74826d43f0d4e619a755e8ec0253784 | 1086363583     
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
